                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.55571,                0.64765,                 1.1022,                0.47928,                0.67582,                0.55174,                0.38091,                 1.1469,                 2.1055,                 1.5808,             0.00058017,             0.00058017,             0.00058017
                     62,                0.50697,                0.60525,                 1.0144,                0.64977,                0.63317,                0.56568,                0.40108,                 1.1477,                 1.7942,                 1.5449,             0.00056603,             0.00056603,             0.00056603
                     63,                0.56073,                0.63864,                  1.075,                 0.7353,                0.61135,                 0.6041,                 0.4568,                  1.074,                 1.6581,                 1.4693,             0.00055188,             0.00055188,             0.00055188
                     64,                 0.4809,                0.55559,                0.99041,                0.73986,                0.50967,                0.59213,                0.44909,                 1.0278,                 1.6414,                 1.4385,             0.00053773,             0.00053773,             0.00053773
                     65,                0.45784,                0.50098,                0.96863,                0.73986,                0.50967,                0.59213,                0.44909,                 1.0278,                 1.6414,                 1.4385,             0.00052359,             0.00052359,             0.00052359
                     66,                0.47309,                0.58004,                0.96563,                0.65797,                0.54271,                0.58835,                0.46801,                 1.0136,                 1.7061,                  1.431,             0.00050944,             0.00050944,             0.00050944
                     67,                0.46952,                0.46863,                0.98123,                0.70927,                0.49363,                0.58453,                0.47344,                 1.0146,                 1.8652,                 1.4232,             0.00049529,             0.00049529,             0.00049529
                     68,                0.45742,                0.45418,                0.98587,                0.69093,                0.45175,                 0.5566,                0.44156,                 1.0294,                 1.9772,                  1.448,             0.00048114,             0.00048114,             0.00048114
                     69,                0.54203,                0.56884,                  1.036,                0.69093,                0.45175,                 0.5566,                0.44156,                 1.0294,                 1.9772,                  1.448,               0.000467,               0.000467,               0.000467
                     70,                0.45274,                0.47509,                0.98199,                0.60262,                0.49422,                0.53278,                0.38882,                 1.0279,                  2.021,                 1.4865,             0.00045285,             0.00045285,             0.00045285
                     71,                0.51242,                0.57896,                 1.0269,                0.62977,                0.50926,                0.53298,                0.38839,                0.94156,                 1.9862,                 1.4376,              0.0004387,              0.0004387,              0.0004387
                     72,                0.46741,                0.49644,                0.98858,                0.64849,                0.51272,                0.54101,                 0.4233,                0.90022,                 1.8414,                 1.3935,             0.00042456,             0.00042456,             0.00042456
                     73,                0.48453,                0.51474,                0.99178,                0.64849,                0.51272,                0.54101,                 0.4233,                0.90022,                 1.8414,                 1.3935,             0.00041041,             0.00041041,             0.00041041
                     74,                0.48328,                0.48547,                0.99266,                 0.6724,                0.54319,                0.64451,                0.48719,                0.94475,                 1.6159,                 1.4481,             0.00039626,             0.00039626,             0.00039626
                     75,                0.45138,                0.45855,                0.97543,                 0.6216,                0.66561,                0.67227,                0.50497,                0.96078,                 1.5626,                 1.4277,             0.00038211,             0.00038211,             0.00038211
                     76,                0.43578,                0.46173,                0.95566,                0.59859,                0.66095,                0.70075,                 0.5169,                0.99573,                 1.5884,                 1.4879,             0.00036797,             0.00036797,             0.00036797
                     77,                0.47386,                0.47147,                0.97557,                0.59859,                0.66095,                0.70075,                 0.5169,                0.99573,                 1.5884,                 1.4879,             0.00035382,             0.00035382,             0.00035382
                     78,                0.53076,                0.51977,                 1.0763,                0.67514,                 0.6111,                0.67423,                0.50789,                 1.0025,                 1.6399,                 1.5343,             0.00033967,             0.00033967,             0.00033967
                     79,                0.44716,                0.49763,                0.98445,                0.64629,                0.62869,                0.64256,                0.45612,                 1.0225,                 1.7849,                 1.5316,             0.00032553,             0.00032553,             0.00032553
                     80,                0.44757,                0.44258,                0.98936,                0.60516,                0.66326,                0.60042,                 0.4179,                 1.0621,                  1.807,                 1.5364,             0.00031138,             0.00031138,             0.00031138
                     81,                0.43969,                0.45106,                0.99157,                0.60516,                0.66326,                0.60042,                 0.4179,                 1.0621,                  1.807,                 1.5364,             0.00029723,             0.00029723,             0.00029723
                     82,                0.46537,                0.47923,                0.95924,                0.60442,                0.57477,                0.58405,                0.42521,                 1.0331,                 1.8483,                 1.4534,             0.00028308,             0.00028308,             0.00028308
                     83,                 0.4347,                 0.4419,                0.96982,                0.67228,                0.64371,                0.62639,                0.45456,                 1.0618,                 1.7056,                 1.4688,             0.00026894,             0.00026894,             0.00026894
                     84,                0.40572,                0.41744,                0.93979,                 0.7153,                0.63294,                0.66802,                0.49284,                 1.0448,                 1.6412,                 1.4445,             0.00025479,             0.00025479,             0.00025479
                     85,                0.45934,                0.52217,                 1.0194,                 0.7153,                0.63294,                0.66802,                0.49284,                 1.0448,                 1.6412,                 1.4445,             0.00024064,             0.00024064,             0.00024064
                     86,                 0.4301,                0.41716,                0.97112,                0.76358,                0.57615,                0.69059,                0.52555,                 1.0113,                 1.5943,                 1.4254,              0.0002265,              0.0002265,              0.0002265
                     87,                0.41446,                0.38462,                0.96447,                0.76014,                0.58224,                0.71022,                0.57214,                0.98465,                 1.5757,                 1.4095,             0.00021235,             0.00021235,             0.00021235
                     88,                0.37809,                0.37427,                0.92736,                0.73413,                0.53916,                0.66828,                0.54171,                 1.0088,                 1.5971,                 1.4224,              0.0001982,              0.0001982,              0.0001982
                     89,                0.37062,                0.40217,                0.93603,                0.73413,                0.53916,                0.66828,                0.54171,                 1.0088,                 1.5971,                 1.4224,             0.00018406,             0.00018406,             0.00018406
                     90,                0.42462,                0.39194,                 0.9894,                0.68444,                0.56349,                0.67065,                0.55012,                 1.0022,                  1.566,                 1.4296,             0.00016991,             0.00016991,             0.00016991
                     91,                0.32654,                0.40266,                0.88192,                0.64065,                0.59501,                0.66698,                0.53411,                0.97323,                 1.5614,                 1.4072,             0.00015576,             0.00015576,             0.00015576
                     92,                0.32438,                0.44693,                0.91498,                0.61899,                 0.5916,                0.64654,                0.52418,                0.93876,                 1.6485,                 1.3808,             0.00014161,             0.00014161,             0.00014161
                     93,                0.35276,                0.32764,                0.92043,                0.61899,                 0.5916,                0.64654,                0.52418,                0.93876,                 1.6485,                 1.3808,             0.00012747,             0.00012747,             0.00012747
                     94,                0.34339,                0.32012,                0.89663,                0.60544,                 0.5837,                0.65075,                0.54031,                0.92444,                 1.6927,                 1.3783,             0.00011332,             0.00011332,             0.00011332
                     95,                0.33496,                0.33236,                0.90267,                0.76247,                 0.5037,                0.68613,                0.56657,                0.92858,                 1.7346,                 1.3838,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.32755,                 0.3464,                0.90941,                0.56388,                0.73075,                0.70675,                0.57634,                0.91925,                 1.7349,                 1.3849,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                 0.3164,                 0.3135,                0.88941,                0.56388,                0.73075,                0.70675,                0.57634,                0.91925,                 1.7349,                 1.3849,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.31129,                0.29381,                0.86744,                0.72768,                0.53578,                0.70808,                0.57503,                 0.9208,                  1.748,                 1.3896,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.32021,                0.36367,                0.92631,                0.67635,                0.59236,                0.69267,                0.56675,                0.91511,                 1.7582,                 1.3873,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.26882,                0.27248,                0.86321,                0.63086,                0.65954,                0.70466,                 0.5762,                0.90242,                 1.7249,                 1.3721,             2.8437e-05,             2.8437e-05,             2.8437e-05
